 EpsilonGreedy Cumulative Reward: 418.0
EpsilonGreedy Total Regret: 31.999999999999467
UCB Cumulative Reward: 369.0
UCB Total Regret: 81.00000000000044
ThompsonSampling Cumulative Reward: 423.0
ThompsonSampling Total Regret: 26.999999999999346
EpsilonGreedy Cumulative Reward: 437.0
EpsilonGreedy Total Regret: 13.000000000000153
UCB Cumulative Reward: 381.0
UCB Total Regret: 68.99999999999997
ThompsonSampling Cumulative Reward: 445.0
ThompsonSampling Total Regret: 5.000000000000149
gaussian | GaussianThompsonSampling | Run 6 | Cumulative Reward: 361.0901928952836 | Total Regret: 38.909807104716364
gaussian | GaussianThompsonSampling | Run 7 | Cumulative Reward: 344.193784535614 | Total Regret: 55.80621546438597
gaussian | GaussianThompsonSampling | Run 8 | Cumulative Reward: 340.7990730933727 | Total Regret: 59.200926906627245
gaussian | GaussianThompsonSampling | Run 9 | Cumulative Reward: 362.13123357671907 | Total Regret: 37.8687664232809
bernoulli | EpsilonGreedy | Run 0 | Cumulative Reward: 77.0 | Total Regret: 103.00000000000003
bernoulli | EpsilonGreedy | Run 1 | Cumulative Reward: 116.0 | Total Regret: 64.00000000000003
bernoulli | EpsilonGreedy | Run 2 | Cumulative Reward: 137.0 | Total Regret: 43.0
bernoulli | EpsilonGreedy | Run 3 | Cumulative Reward: 171.0 | Total Regret: 9.0
bernoulli | EpsilonGreedy | Run 4 | Cumulative Reward: 158.0 | Total Regret: 22.0
bernoulli | EpsilonGreedy | Run 5 | Cumulative Reward: 150.0 | Total Regret: 30.000000000000007
bernoulli | EpsilonGreedy | Run 6 | Cumulative Reward: 145.0 | Total Regret: 35.00000000000001
bernoulli | EpsilonGreedy | Run 7 | Cumulative Reward: 123.0 | Total Regret: 57.00000000000002
bernoulli | EpsilonGreedy | Run 8 | Cumulative Reward: 164.0 | Total Regret: 16.0
bernoulli | EpsilonGreedy | Run 9 | Cumulative Reward: 113.0 | Total Regret: 67.0
bernoulli | KL-UCB | Run 0 | Cumulative Reward: 158.0 | Total Regret: 22.0
bernoulli | KL-UCB | Run 1 | Cumulative Reward: 170.0 | Total Regret: 10.0
bernoulli | KL-UCB | Run 2 | Cumulative Reward: 172.0 | Total Regret: 8.0
bernoulli | KL-UCB | Run 3 | Cumulative Reward: 164.0 | Total Regret: 16.0
bernoulli | KL-UCB | Run 4 | Cumulative Reward: 165.0 | Total Regret: 15.0
bernoulli | KL-UCB | Run 5 | Cumulative Reward: 165.0 | Total Regret: 15.0
bernoulli | KL-UCB | Run 6 | Cumulative Reward: 152.0 | Total Regret: 28.0
bernoulli | KL-UCB | Run 7 | Cumulative Reward: 173.0 | Total Regret: 7.000000000000001
bernoulli | KL-UCB | Run 8 | Cumulative Reward: 166.0 | Total Regret: 14.0
